sku,name,line,category,targetMarket,priceRange,priceMin,priceMax,bomTotal,confidence,lastUpdated,specs
SW-NANO-001,SkyWatch Nano,skywatch,detection,"Hobbyists, makers, educational",$50-100,50,100,66,verified,2026-01-11,detectionRange=30-50m (daylight); processingSpeed=5-10 FPS; powerConsumption=2-4W; operatingTemp=0°C to 40°C; dimensions=85 × 56 × 30mm; weight=~150g assembled; connectivity=WiFi 2.4/5GHz; storage=32GB microSD
SW-STD-001,SkyWatch Standard,skywatch,detection,"Homeowners, small property",$100-250,100,250,209.99,verified,2026-01-11,"detectionRange=50-150m; processingSpeed=15-30 FPS; powerConsumption=4-10W; operatingTemp=-10°C to 50°C; dimensions=150 × 100 × 80mm; weight=~400g assembled; connectivity=WiFi, Ethernet (PoE optional); storage=64GB microSD"
SW-PRO-001,SkyWatch Pro,skywatch,detection,"Farms, estates, commercial property",$250-600,250,600,495,verified,2026-01-11,"detectionRange=150-500m (visual), 500m-2km (RF); processingSpeed=30+ FPS; powerConsumption=8-18W; operatingTemp=-20°C to 60°C; dimensions=200 × 150 × 120mm; weight=~1.2kg assembled; connectivity=WiFi, Ethernet, PoE+; storage=128GB+ SSD recommended"
SW-MOB-001,SkyWatch Mobile,skywatch,detection,"Security patrols, event staff",$200-500,200,500,369.99,verified,2026-01-11,"detectionRange=100-300m; processingSpeed=15-25 FPS; powerConsumption=6-12W; batteryLife=3-5 hours; operatingTemp=-10°C to 50°C; dimensions=220 × 150 × 40mm; weight=~800g with battery; connectivity=WiFi, Bluetooth, optional LTE"
SW-THM-001-B,SkyWatch Thermal (Budget),skywatch,detection,"24/7 operations, night security",$400-800,400,800,467.99,verified,2026-01-11,"detectionRange=100-500m (thermal), 50-300m (visible); processingSpeed=15-30 FPS; powerConsumption=8-15W; operatingTemp=-20°C to 60°C; thermalResolution=160×120; thermalSensitivity=<50mK NETD"
SW-THM-001-P,SkyWatch Thermal (Pro),skywatch,detection,"24/7 operations, night security","$1,000-1,500",1000,1500,1290,verified,2026-01-11,"detectionRange=100-500m (thermal), 50-300m (visible); processingSpeed=15-30 FPS; powerConsumption=8-15W; operatingTemp=-20°C to 60°C; thermalResolution=320×256; thermalSensitivity=<50mK NETD"
SW-MAR-001,SkyWatch Marine,skywatch,detection,"Vessels, marinas, coastal facilities","$600-2,000",600,2000,639.99,verified,2026-01-11,"detectionRange=200-800m; processingSpeed=20-30 FPS; powerConsumption=8-15W; operatingTemp=-20°C to 60°C; ipRating=IP67; stabilization=2-axis gyro, ±30° roll, ±20° pitch"
SW-MESH-001-N,SkyWatch Mesh (Node),skywatch,detection,"Large perimeters, farms, industrial sites",$150-200/node,150,200,158,verified,2026-01-11,"detectionRange=100-200m per node; processingSpeed=15-25 FPS; powerConsumption=5-10W; connectivity=Ethernet, WiFi mesh"
SW-MESH-001-C,SkyWatch Mesh (Central),skywatch,detection,"Large perimeters, farms, industrial sites",$350-400,350,400,370,verified,2026-01-11,"detectionRange=N/A - aggregation server; processingSpeed=N/A; powerConsumption=15-30W; connectivity=Ethernet, WiFi; storage=256GB NVMe"
SW-ENT-001,SkyWatch Enterprise,skywatch,detection,"Corporate campuses, critical infrastructure","$5,000-20,000",5000,20000,8300,verified,2026-01-11,"detectionRange=1-5km (multi-sensor); processingSpeed=30+ FPS; powerConsumption=50-100W; connectivity=Ethernet, WiFi, MQTT, API"
NS-LITE-001,NetSentry Lite,netsentry,countermeasure,"Makers, hobbyists, testing",$150-400,150,400,210,verified,2026-01-11,detectionRange=50-100m; launchRange=5-15m; responseTime=200-500ms; reload=Manual; netSize=1.5m weighted
NS-STD-001,NetSentry Standard,netsentry,countermeasure,Property protection,$400-800,400,800,499.99,verified,2026-01-11,detectionRange=100-200m; launchRange=15-30m; responseTime=50ms; reload=CO2 cartridge replacement; netSize=2m weighted; costPerShot=$1-2
NS-PRO-001,NetSentry Pro,netsentry,countermeasure,Security professionals,"$800-2,000",800,2000,1015,verified,2026-01-11,detectionRange=200-500m; launchRange=25-50m; responseTime=50ms; reload=Air tank refill (free); netSize=3m auto-deploy
SS-001,Kestrel Mesh,kestrel,countermeasure,"Property owners, outdoor enthusiasts, privacy advocates",$349,349,349,148,verified,2026-01-11,launchRange=15-30m; netSize=2m × 2m; reload=30 seconds; weight=~1.2kg
NSN-LITE-001,NetSnare Lite,netsnare,countermeasure,"DIY enthusiasts, Makers, Property owners",$200-400,200,400,125,verified,2026-01-11,"launchRange=10-20m; responseTime=200ms; reload=Manual, 30 seconds; netSize=2m weighted"
NSN-LITE-001-TURRET,NetSnare Lite (Turret),netsnare,countermeasure,"Demos, Makers, Phase-1 safe actuation",$150-350,150,350,76,verified,2026-03-04,"responseTime=Pan-tilt + alarm; connectivity=WiFi, MQTT/HTTP; operatingTemp=0°C to 40°C"
NSN-STD-001,NetSnare Standard,netsnare,countermeasure,"Property owners, Small businesses, Farms",$500-800,500,800,285,verified,2026-01-11,launchRange=20-35m; responseTime=100ms; reload=CO2 cartridge swap; costPerShot=$1-2
NSN-PRO-001,NetSnare Pro,netsnare,countermeasure,"Commercial facilities, Critical infrastructure, Security firms","$1,200-2,000",1200,2000,680,verified,2026-01-11,launchRange=30-50m; responseTime=50ms; reload=Air tank refillable; netSize=3m weighted
RR-DEMO-001,Response Relay (Demo),netsnare,countermeasure,"Phase-1 demos, Lab validation",$40-80,40,80,22,verified,2026-03-04,"connectivity=WiFi, MQTT; responseTime=Relay/LED output only"
AN-ENT-001,Sentinel Ring Enterprise,sentinel-ring,detection,"Critical infrastructure, Airports, Prisons, Military bases","$150,000 setup + $25,000/month",150000,150000,59200,verified,2026-01-11,detectionRange=2-5km multi-sensor; processingSpeed=30+ FPS per sensor; powerConsumption=500W-1kW system; operatingTemp=-40°C to 60°C
AN-CMD-001,Sentinel Ring Command,sentinel-ring,detection,"Enterprise security teams, Multi-site operators, SOC teams","$25,000-50,000 license + $2,500/month",25000,50000,8500,verified,2026-01-11,"connectivity=Cloud or on-premise; processingSpeed=Real-time, <100ms latency"
RKV-M-001,RKV-M Mothership,rkv,countermeasure,"Military, Critical infrastructure","$65,000-85,000",65000,85000,29736,verified,2026-01-11,detectionRange=500m-2km; processingSpeed=60+ FPS; powerConsumption=500W hover; operatingTemp=-20°C to 50°C
RKV-I-001,RKV-I Interceptor,rkv,countermeasure,"Military, Paired with RKV-M","$8,000-12,000",8000,12000,4338,verified,2026-01-11,launchRange=500m from launcher; responseTime=Instant; netSize=3m × 3m
RKV-G-001,RKV-G Ground Station,rkv,detection,"Military, Mobile operations","$100,000-150,000",100000,150000,52478,verified,2026-01-11,detectionRange=5-10km; processingSpeed=Multi-stream real-time; powerConsumption=2-5kW system; operatingTemp=-40°C to 55°C